"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"west-bengal","2021","3",NULL,"purba medinipur district",NULL,NULL,"7833998","18432252642.503994","1017925","18619093"
"west-bengal","2021","3",NULL,"purba bardhaman district",NULL,NULL,"4895497","9701089785.313658","847622","15020358"
"west-bengal","2021","3",NULL,"paschim medinipur district",NULL,NULL,"6258901","12581282827.778063","922218","20226812"
"west-bengal","2021","3",NULL,"paschim bardhaman district",NULL,NULL,"6486598","11454626096.903252","845830","13640640"
"west-bengal","2021","3",NULL,"north twenty four parganas district",NULL,NULL,"22393657","40621221621.04847","2852030","47835815"
"west-bengal","2021","3",NULL,"nadia district",NULL,NULL,"6912466","15091309342.981659","1026795","16684700"
"west-bengal","2021","3",NULL,"murshidabad district",NULL,NULL,"10931440","25748905389.537254","1342984","21103271"
"west-bengal","2021","3",NULL,"maldah district",NULL,NULL,"5226024","12609978452.38233","710699","15940220"
"west-bengal","2021","3",NULL,"kolkata district",NULL,NULL,"55166796","108533947842.03369","2078360","32297893"
"west-bengal","2021","3",NULL,"koch bihar district",NULL,NULL,"2404892","5057670482.625468","401546","9466032"
"west-bengal","2021","3",NULL,"kalimpong district",NULL,NULL,"195057","465676038.53915656","40581","1787640"
"west-bengal","2021","3",NULL,"jhargram district",NULL,NULL,"818355","1427733005.9466476","133927","4306987"
"west-bengal","2021","3",NULL,"jalpaiguri district",NULL,NULL,"1847997","3994414459.2942305","280624","7690594"
"west-bengal","2021","3",NULL,"howrah district",NULL,NULL,"15377518","27653090450.955425","1077467","15417318"
"west-bengal","2021","3",NULL,"hooghly district",NULL,NULL,"7784199","14865078300.051212","1198858","18451061"
"west-bengal","2021","3",NULL,"darjiling district",NULL,NULL,"3958189","8851180714.502821","428460","8582057"
"west-bengal","2021","3",NULL,"dakshin dinajpur district",NULL,NULL,"1272971","2627951633.9636664","304201","4804545"
"west-bengal","2021","3",NULL,"birbhum district",NULL,NULL,"3540954","6590455614.729217","644407","10749052"
"west-bengal","2021","3",NULL,"bankura district",NULL,NULL,"3741684","5714486936.043903","695804","14483541"
"west-bengal","2021","3",NULL,"alipurduar district",NULL,NULL,"1263252","2737500631.928809","195128","5854359"
"west-bengal","2021","2",NULL,"uttar dinajpur district",NULL,NULL,"2253385","5564220751.049259","392388","8184990"
"west-bengal","2021","2",NULL,"south twenty four parganas district",NULL,NULL,"6661813","13398529483.673187","1286588","19344293"
"west-bengal","2021","2",NULL,"purulia district",NULL,NULL,"1895981","2790996372.0372777","435131","8843358"
"west-bengal","2021","2",NULL,"purba medinipur district",NULL,NULL,"6418522","15155067721.273426","946277","15491958"
"west-bengal","2021","2",NULL,"purba bardhaman district",NULL,NULL,"3920729","7572502416.238684","787970","12128849"
"west-bengal","2021","2",NULL,"paschim medinipur district",NULL,NULL,"5051834","10303513378.79989","856640","16201033"
"west-bengal","2021","2",NULL,"paschim bardhaman district",NULL,NULL,"4893774","8731262893.729904","789026","10545670"
"west-bengal","2021","2",NULL,"north twenty four parganas district",NULL,NULL,"17258291","30414821772.928673","2660664","37899453"
"west-bengal","2021","2",NULL,"nadia district",NULL,NULL,"5524174","11227582723.377321","955428","13665885"
"west-bengal","2021","2",NULL,"murshidabad district",NULL,NULL,"8602251","19996935608.243374","1248602","16530655"
"west-bengal","2021","2",NULL,"maldah district",NULL,NULL,"4093606","9929838049.329655","658282","12664071"
"west-bengal","2021","2",NULL,"kolkata district",NULL,NULL,"41726247","80954850438.57187","1944113","23924834"
"west-bengal","2021","2",NULL,"koch bihar district",NULL,NULL,"1946827","3960247167.469792","370813","7542282"
"west-bengal","2021","2",NULL,"kalimpong district",NULL,NULL,"158257","340481312.8783516","37523","1223459"
"west-bengal","2021","2",NULL,"jhargram district",NULL,NULL,"656024","1117615385.2981439","124122","3321057"
"west-bengal","2021","2",NULL,"jalpaiguri district",NULL,NULL,"1434640","3074506540.24375","259321","5783835"
"west-bengal","2021","2",NULL,"howrah district",NULL,NULL,"12238810","22440665027.606167","1004570","12452653"
